id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,4259750,Peter,,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,177,1,86,2025-09-13,0.89,8,359,28,
20633175,"Garden Apartment, on the Park, close to Capital.",65414985,James,,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,116,2,131,2024-05-12,1.43,2,352,0,
20671966,"The Metropolitan,3rd floor suite",98744672,Bela,,NINTH WARD,42.65532,-73.78244,Entire home/apt,68,2,48,2025-05-19,0.49,8,273,5,
21052414,Cozy bedroom with (2) walk-in closets,135717458,Chad,,THIRTEENTH WARD,42.66565,-73.77975,Private room,43,18,47,2025-08-31,0.53,3,330,5,
21392315,The Blair Suite,98744672,Bela,,NINTH WARD,42.65372,-73.78244,Entire home/apt,60,2,136,2025-09-28,1.42,8,272,14,
21449583,/zBig Blue Ranch\ 1962 SUNY Eagle Hill 4Beds 2Bath,4259750,Peter,,FIFTEENTH WARD,42.67547,-73.82402,Entire home/apt,749,4,9,2025-08-05,0.09,8,365,1,
21752534,"NEW LISTING! Modern, completely updated, LOCATION!",152762198,Allen,,TENTH WARD,42.66045,-73.77833,Entire home/apt,69,3,183,2025-07-31,1.91,9,353,11,
21769213,Cozy downstairs bedroom in quiet neighborhood!,135717458,Chad,,ELEVENTH WARD,42.66572,-73.77834,Private room,32,18,34,2025-08-30,0.36,3,310,6,
21769439,Cozy upstairs room with (1) walk-in closet,135717458,Chad,,ELEVENTH WARD,42.66703,-73.77842,Private room,42,20,26,2025-01-24,0.27,3,342,3,
22398196,Elegant Guest Suite in our beautiful Victorian!,98744672,Bela,,NINTH WARD,42.65501,-73.78122,Private room,72,2,129,2025-09-09,1.37,8,317,15,
24606880,The Western Suite,98744672,Bela,,NINTH WARD,42.65431,-73.78178,Private room,72,2,54,2025-09-20,0.64,8,323,9,
25549565,Quiet and Pretty in the Heart of Center Square,9666970,Janet,,SIXTH WARD,42.65345,-73.7645,Entire home/apt,121,1,962,2025-09-17,10.78,1,159,96,
26139592,Garden Apartment in Ctr. Square: Monthly Discounts,6833937,Farah,,SIXTH WARD,42.65403,-73.76325,Entire home/apt,81,2,154,2025-09-22,1.76,1,346,32,
27670660,The Rock & Roll Suite,98744672,Bela,,NINTH WARD,42.6543083190918,-73.78177642822266,Private room,76,2,30,2025-08-19,0.37,8,346,6,
